title,type,address,unclear.address,city,state,description,stars,star.type, mentions.race,mention.disability,notes,year
The Connection,Bars,4363 Sepulveda Boulevard,,Culver City,CA,90230 -Tel. (213)391-681 7 Pool tables/ hve entertainment I cocktail lounge.,****,"Bars, Clubs, Coffeehouses",,,Location of zip codes?,1989
This Is It,Bars,5416 Whitsett Avenue,,North Hollywood,CA,"Tel. (818)760-9401 Woman owned women's dance bar, video, etc.",****,"Bars, Clubs, Coffeehouses",,,,1989
Entre Nous,Bars,2214 Stoner Avenue,,Los Angeles,CA,"Tel. (213)851-9094. Private club for women, phone their info line for latest details.",****,"Bars, Clubs, Coffeehouses",,,,1989
In Touch East,Bars,10437 Burbank Boulevard,,North Hollywood,CA,Tel (818)508-7008,****,"Bars, Clubs, Coffeehouses",,,,1989
The New Palms,Bars,8572 Santa Monica Boulevard,,Hollywood,CA,Tel. (213)652-6188,****,"Bars, Clubs, Coffeehouses",,,,1989
Rumors,Bars,10622 Magnolia Boulevard,,North Hollywood,CA,Tel. (818)506-9651,****,"Bars, Clubs, Coffeehouses",,,,1989
The Patio,Restaurants and Cafes,450 North Robertson Boulevard,,West Hollywood,CA,Tel. (213)659-8381,*,Restaurants,,,,1989
Rosalind's,Restaurants and Cafes,1941 South La Cienega Boulevard,checked,Los Angeles,CA,"Tel. (213)559-8816. Woman owned, West African cuisine.",*,Restaurants,checked,,Had to google Los Angeles,1989
Julie Ow's,Restaurants and Cafes,15601 Ventura Boulevard,,Encino,CA,"91436 -Tel. (818)784-8276. Open for lunch and dinner, 'for the discriminating business woman' That lets me out, but looks like a great restaurant, anyway.",,,,,"No star, so left off latter part of data entry.",1989
Lavender Books,Bookstores,1213 North Highland Avenue,,Hollywood,CA,"Tel. (213)464-7400, ext. 205. (TDD)464-0029. 'We carry selected new and used books by and for Lesbians (both fiction and non-fiction). Subjects include Lesbian classics, health, 12 step, incest, womyn of color, coming out, psychology and spirituality. We also offer a search service for out-of-print books and we accept donations of used books of Interest to Lesbians and Gays. Hours: 9: 30am-6pm, Monday-Friday. -We sell GAIA'S GUIDE'. Say 'hi' from GAIA to this great new addition to our scene.",,,checked,,,1989
Sisterhood Bookstore,Bookstores,1351 Westwood Boulevard,checked,Los Angeles,CA,"90024 -Tel. 477-7300 Complete selection of feminist and lesbian books & pamphlets /journals/ record albums/ children's books/ posters and Jewelry. Local and international mail-order/ information on local events. Author appearances, readings, etc. They sell GAIA'S GUIDE& LESBIAN NEWS. One of the friendliest bookstores in the world-say 'h1'from GAIA. FREE MAIL ORDER CATALOGUE.",,,,,had to google address,1989
Bread & Roses,Bookstores,13812 Ventura Boulevard,,Los Angeles,CA,"Tel. 986-5376. Huge selection of women's books & they serve coffee/ tea/ wine & snacks, also crafts/ ticket sales MAIL ORDER SERVICE/ authors nights and special readings. They have: OFF OUR BACKS / WOMEN'S REVIEW / SOJOUORNER / WOMEN OF POWER / RADIANCE/ CALYX. They sell GAIA'S GUIDE. Be sure and say 'hi' from GAIA",,,,,,1989
Between the Lines,Bookstores,9028 Tampa Avenue,,Los Angeles,CA,"Tel. 701•6758 Specializing in books for women, non-sexist books for children / small press publications/ unusual gifts & cards.",,,,,,1989
The Bookworks,Bookstores,3617 Centinela Avenue,,Los Angeles,CA,"Tel (213)398-1932. Books of interest to & about lesbians/ women's studies/ social sciences I humanities/ new and used books/ women's music and much, much more. They sell GAIA'S GUIDE.",,,,,,1989
A Different Light,Bookstores,4014 Santa Monica Boulevard,,Los Angeles,CA,"Tel. (213)668-0629. 'Lesbian and Gay titles, fiction a,,: non-fiction/ women's studies/ lesbian newspapers and magazines/ lesbian·, and women's music-cassettes and records/ lesbian poetry/ women's postcards and greeting cards. We carry: ON OUR BACKS, BAD ATTITUDE, POWER EXCHANGE, books by Lace Pub. , lesbian adult videos made by and for lesbians and much more. MAIL ORDERS and phone orders welcome. We publish a free seasonal lesbian/ gay newsletter ""Booked for Brunch"" with recent titles-available by mail. Don't miss our LESBIAN WRITER'S SERIES- phone for upcoming events. Open seven days a week, 10am-1 0pm. 'They sell GAIA'S GUIDE, say 'hi' from GAIA.",,,,,,1989
Orban Hotel,Guest Houses / Bed and Breakfast,6364 Yucca Street,,Hollywood,CA,"el. (213)466-0524. (1 / 2 mile south of Cahuenga Exit). Minutes to Beverly Hills, downtown and The Valley. Color TV In all rooms. Refrigerator and microwave available. Operated by two very nice women. Probably your best bel in the L. A. area",,,,,,1989
Hudson House,Guest Houses / Bed and Breakfast,1154 North Western Avenue,,Los Angeles,CA,90029 -Tel. (213)465-0247. The world's largest emergency housing for gay women and men.,,,,,,1989
Woodland Hill Motor Lodge,Guest Houses / Bed and Breakfast,22621 Ventura Boulevard,,Los Angeles,CA,Tel.(818)884-7777,,,,,,1989
Roomate Matchers,Roommate Matching Services,843 North Fairfax,,West Hollywood,CA,90016 -Tel. (213)655-5944 (West Hollywood) &(818)780-1446-San Fernando Valley.,,,,,Copied title verbatim but changed category spelling to reflect proper spelling.,1989
Gay Roomate Contacts,Roommate Matching Services,,checked,Los Angeles,CA,Tel. (213)650-6334,,,,,213 Area Code = Los Angeles - there was no  city listed.,1989
Nancy Clarke,Accounting and Income Tax Services,11462 Patom Drive,,Culver City,CA,90230-Tel. (213)391-5650,,,,,,1989
Lawyer Referral Service of the Gay & Lesbian Community Services,Attorneys,,checked,Los Angeles,CA,Tel. (213)467-4141,,,,,213 Area Code = Los Angeles - there was no  city listed.,1989
"Helyn Luechauer, D.D.S.",Medical Practitioners--Including Alternative,"3169 Barbara Court,",,Hollywood,CA,90068 -Tel. (213)876-6440.,,,,,,1989
Lauren Jacob,Medical Practitioners--Including Alternative,,checked,Los Angeles,CA,Tel. (213)450-5562. Acupuncture,,,,,,1989
Joyce Shoemaker,Medical Practitioners--Including Alternative,,checked,Los Angeles,CA,Pulled city from area code,,,,,,1989
Moreen Klein,Medical Practitioners--Including Alternative,,checked,Los Angeles,CA,Pulled city from area code,,,,,,1989
Associated Women's Health Services,Counselling / Health / Clinics / Medical Treatment,22554 Ventura Boulevard,,Woodland Hills,CA,Suite 208; 91364 -Tel. (818)710-9231 or (213)822-6200. Artificial insemination and alternative birth center & obstetrics and gynecology.,,,,,,1989
Westside Women's Clinic,Counselling / Health / Clinics / Medical Treatment,1711 Ocean Park,checked,Santa Monica,CA,' -Tel. (213)450-2191 General gynecological clinic. Special services include a menopause program & counselling services.,,,,,,1989
Feminist Women's Clinic ,Counselling / Health / Clinics / Medical Treatment,6221 Wilshire Boulevard,checked,Los Angeles,CA,'-suite 419; 90045 -Tel. (213)469-4844. General gynecological clinic. Donor insemination available.,,,,,,1989
Alcoholism Center for Women,Counselling / Health / Clinics / Medical Treatment,1147 South Alvarado Street,checked,Los Angeles,CA,90026 -Tel. (213)38 1•7805,,,,,,1989
L.A. Women's Therapy Center,Counselling / Health / Clinics / Medical Treatment,728 La Brea,,Los Angeles,CA,"Metro Plaza Building, suite 200, L.A., -Tel. (213)935-9889. counselling and referrals, focus on providing services for low-income women.",,,,,,1989
Wholistic Health for Women,Counselling / Health / Clinics / Medical Treatment,8235 Santa Monica Boulevard,,West Hollywood,CA,Suite 201; 90046-Tel. (213)650-1508,,,,,,1989
Open Quest Institute,Counselling / Health / Clinics / Medical Treatment,1305 South Alvarado,,Los Angeles,CA," 90026. Group conselling and lots of social activities. See LESBIAN NEWS lor current details. - The have a 24 hour hotline, stalled by professional counselors: (213)664-500",,,,,,1989
Twelve Doves Inn,Womyn's Hostels / Guest Houses / Retreats,29850 Mendocino ,checked,Covelo,CA, 95428. River retreat/ hostel/ entertainment center.; c/o Sarah Bird,,,,,Had to look up address.,1989
Mendocino Tubbs,Womyn's Hostels / Guest Houses / Retreats,45310 Pacifica Drive,,Mendocino,CA,"Box 1711; 95460 -Tel (707)961-1809 Localion: Caspar Collage for two & nalural redwood hot lubs and saunas in a beauliful env,ronmenl. tubs open to women v,s,tors.",,,,,,1989
Sallie & Eileen's Place,Womyn's Hostels / Guest Houses / Retreats,PO Box 409,checked,Mendocino,CA,"Box 409, Mendocino; 95460 -Tel. 937-2028. Lesbian land and cabins on two acres. Phone or write first, no drop-,ns.",,,,,No address - only a PO Box,1989
Pepperland,Womyn's Hostels / Guest Houses / Retreats,PO Box 464,checked,Albion,CA,"write- PO Box 464, Albion. CA, 95410 -Tel. (707)937-0020 One individual collage on the Mendocino Coast $45 00 per night for two women say 'hi' from GAIA.",,,,,"No address
",1989
Navana,Womyn's Hostels / Guest Houses / Retreats,PO Box 338,checked,Navarro,CA,PO Box 338; 95463-Tel 895-3752,,,,,No address,1989
Two Sisters Bookshop,Feminist Bookstore,605 Cambridge Avenue,,Menlo Park,CA,"94025 -Tel 323-4778 Lesbian !tiles/ women's studies/ music/ Iewellry I posters & bulletin board and local ,nformalion. And now: 'Backroom' events and workshops, authors. speakers and much, much more Say 'ht' from GAIA 10th,s welcome new add1t1onto our scene",,,,,,1989
Kepler's Books and Magazines,Other Bookstores,821 El Camino Real,,Menlo Park,CA,"94025 -Tel (415)324-4321. A general bookstore with a truly, impressive stock of lesbian titles and women's studies. A mind-blowing assortment of feminist newspapers and magazines & local gay papers, women's yellow pages for several regions, all the major lesbian and gay guide books, including GAIA'S GUIDE a MAIL ORDER SERVICE & bulletin board for local information. Say 'ht' from GAIA",,,,,,1989
The Huntress,Bars,8122 Bolsa Avenue,,Midway City,CA,Tel. 892-0048.,**,"Bars, Clubs, Coffeehouses",,,,1989
Kitty's,Bars,612 West Whittier Boulevard,,Montebello,CA,Tel. 725-8085,****,"Bars, Clubs, Coffeehouses",,,,1989
Mustang Club,Bars,413 North 7th Street,,Modesto,CA,Tel 577-9694,**,"Bars, Clubs, Coffeehouses",,,,1989
After Dark,Bars,214 Lighthouse Avenue,,Monterey,CA,Tel 373-7828,**,"Bars, Clubs, Coffeehouses",,,,1989
Daybreak,Bars,1711 West El Camino Real,,Mountain View,CA,94040 (between El Monie & Batley)-mail to P.O. Box519;94042-Tel (415)940-9778 Featuring womeyn's concerts/beerbusts / spaghetti feeds/ belly dancers. Open 4pm 2am after hours.,****,"Bars, Clubs, Coffeehouses",,,,1989
Willow,Guest Houses / Bed and Breakfast,6517 Dry Creek Road,,Napa,CA,"94558. -Tel. 944-8173. Secluded women's retreat on 40 acres. Hot-tub, sauna, tennis court and swimming pool. Private bedrooms with bath-double with bath: $75. 00. Reservations required. Say 'hi' from GAIA.",,,,,,1989
Pomona/ San Gabriel Valley Gay & Lesbian Coalition,Gay Center,508 South Euclid,,Ontario,CA,91762 Tel 596 9533. Full-service lesbian/gay center. say 'hi' from GAIA to these very helpful people,***(**),Gay center with separate lesbian space and or groups using the premises,,,,1989
INFORMATION SERVICES,Information Services,,checked,Orange County,CA,HOTLINE -Tel. 534-3261,,,,,No Address,1989
Gay Help Line,Information Services,,checked,Palm Springs,CA,Tel 327-2796 & 324-2794,,,,,No Address,1989
Desert Business Association,Information Services,PO Box 733,checked,Palm Springs,CA,write. PO Box 733. Palm Springs; 92264 • Tel 324-0178,,,,,No Address,1989
Star Magazine,Publications,68-467 Highway 111,checked,Cathedral City,CA,Cathedral City-Tel. 328-5511,,,,,"Address should be good enough, but I wasn't quite sure. Appears to be a gay bar there now.
",1989
Metropolitan Community Church,Religious Groups,,checked,Palm Springs,CA,Tel. 251-1356,,,,,,1989
C.C. Construction Company,Bars,,checked,Palm Springs,CA,on Perez. very friendly to women Exact location & directions from Help Line the upstairs bar is women only or Tel 324 4241,***(**),"Bars, Clubs, Coffeehouses",,,,1989
Daddy Warbuck's,Bars,68981 East Palm Canyon Drive,,Cathedral City,CA,Tel 324-1022. Elegant piano bar and disco Lots of letters recommending,**,"Bars, Clubs, Coffeehouses",,,,1989
Rock's,Bars,67-901 East Palm Canyon Drive,,Cathedral City,CA,Tel 324 0681,***,"Bars, Clubs, Coffeehouses",,,,1989
Cuddles II,Bars,68-657 Highway 111,,Cathedral City,CA,#NAME?,**,"Bars, Clubs, Coffeehouses",,,,1989
Shame on the Moon,Bars,68-805 Highway 111,,Cathedral City,CA,Cathedral City; -Tel 324-5515,***,"Bars, Clubs, Coffeehouses",,,,1989
Carriage Trade of the Desert,Bar / Restaurants,68-599 East Palm Canyon,,Cathedral City,CA,"(Highway 111) Cathedral City; -Tel. 324-4345, the food is apparently excellent and gay women always feel quite comfortable there.",**(MGM),Bar / Restaurants,,,,1989
Gloria's,Bar / Restaurants,2330 North Palm Canyon Drive,,Palm Springs,CA,"'-Tel (619)322-3224 Restaurant & piano bar, 95% gay men but they say 'women are MORE than welcome here. ′",,,,,No Stars,1989
Smoke Tree Villa Resort,Resorts / Guest Houses,1586 East Palm Canyon Drive,,Palm Springs,CA,92264 -Tel (619)323-2231. Women only,,,,,,1989
Gay / Lesbian Alliance of Stanford,Information Services,,checked,Palo Alto,CA," Tel 723-1488, a great tape",,,,,,1989
Printer's Ink Books,Bookstores,310 California Avenue,,Palo Alto,CA,-Tel. 327-6500. Women s studies section.,,,,,,1989
3772 Club,Bars,3772 East Foothill Boulevard,,Pasadena,CA,"-Tel. 578-9359. Better than ever!! & very highly recommended, say ‘hi' from GAIA—the research phone call that I made to'3772' was the best thing that happened to me all day. ..",****,"Bars, Clubs, Coffeehouses",,,Notes offer insight into how Gaia acquired info.,1989
Page One,Feminist Bookstore,966 North Lake Avenue,,Pasadena,CA,"91104- -Tel. (818)798-8694. Lesbian titles and women’s studies / music I T-shirts / jewelry I non-sexist children's books. & Ticket sales, MAIL ORDER SERVICE—$1.00 for lesbian booklist, & bulletin board. Acknowledged local information center. A fabulous selection of newspapers and magazines, including, for your further local information: Lesbian News / The News / Southern California Women for Understanding Newsletter / Community Yellow Pages (free!)—they carry GAIA'S GUIDE and great reports about this very special place come in from all over the world. Say 'hl' from GAIA.",,,,,,1989
Pomona / San Gabriel Valley Gay / Lesbian Coalition,Centers,508 South Euclid Ave,,Pomona,CA,91762 -Tel. 985 8557.,***(**),Centers,,,,1989
Skylark,Bars,917 Inland Center Drive,,Pomona,CA,Tel 885-9151. Three bars and one is for women only,**,"Bars, Clubs, Coffeehouses",,,,1989
Greater San Diego Business Association,Services,437 Robinson Avenue,,San Diego,CA, Tel. 296 4543 Products and services for gay businesses. Free referrals & employment data bank.,,,,,,1989
Lesbian and Gay Men's Community Center,Services,3780 Fifth Avenue,,San Diego,CA,"(no. 2); 92103 -Tel.692-GAYS-(4297)&692-2077 Info&referrals. Hours: M-F,6-10pm&Sat. 3-10pm.",,,,,,1989
Metropolitan Community School,Religious Groups,4333 30th Street,,San Diego,CA,Tel. 280-4333,,,,,,1989
Front Runners,Special Interest Groups,PO Box 82971,checked,San Diego,CA,-P.O. Box 82971; 92138:-Tel. 291-1648,,,,,,1989
National Organization for Women,N.O.W.,PO Box 80292,checked,San Diego,CA,'-write: P.O. Box 80292; 92138 -Tel. (619)238-1824 (answering service),,,,,,1989
Seniors Active in a Gay Environment,N.O.W.,,checked,San Diego,CA,,,,,,,1989
Seniors Active in a Gay Environment,N.O.W.,,checked,San Diego,CA,,,,,,,1989
Slightly Older Lesbians,N.O.W.,,checked,San Diego,CA,,,,,,,1989
Southern California Women for Understanding,N.O.W.,,checked,San Diego,CA,,,,,,,1989
Griffen Tavern,Bars,40463 30th Street,,San Diego,CA,-Tel. 563-9051,****,"Bars, Clubs, Coffeehouses",,,,1989
The Flame,Bars,3780 Park Boulevard,,San Diego,CA,-Tel. 295-4163,****,"Bars, Clubs, Coffeehouses",,,,1989
KC's,Bars,1813 Adams Avenue,,San Diego,CA,-Tel. 298-1123,****,"Bars, Clubs, Coffeehouses",,,,1989
Big Kitchen,Restaurants,3003 Grape Street,,San Diego,CA,-Tel. 234-5789,,,,,,1989
Rose Canyon Cafe,Restaurants,4033 Avati Drive,,San Diego,CA,-Tel. 270 6564,,,,,,1989
Bue Door,Alternative Bookstores,3823 5th Avenue,,San Diego,CA,Hillcrest -Tel. 298-8610,,,,,,1989
Groundwork Bookstore,Alternative Bookstores,,checked,San Diego,CA,"U. C. S. C -Student Center, B-023, La Jolla -Tel 452-9625",,,,,,1989
Woman Care,Counselling / Health / Clinics / Medical Treatment,"2850 6th Ave, Ste. 311",,San Diego,CA,'-Tel. 298-9352. Lesbian clinic/ woman controlled conception (donor insemination program),,,,,,1989
Women's Clinic,Counselling / Health / Clinics / Medical Treatment,3705 Mission Boulevard,,San Diego,CA,-Tel. 488-8325. General gynecological services for all women.,,,,,,1989
Balboa Park Inn,Hotel,3402 Park Boulevard,,San Diego,CA,92103 -Tel. (619)298-0823. Luxury suites with queen sized beds / refrigerators / phones / cable tvs / & In-bath jacuzzis 1 fireplaces / private decks / patios and wet bars. Highly recommended. Say ‘hi’ from GAIA.,,,,,,1989
Lesbian / Gay Hotline,Information Services,,checked,San Francisco,CA,"-Tel. 841-6224, bars, hotels, groups, counseling, a great service.",,,,,,1989
Gay Area Youth Switchboard,Information Services,,checked,San Francisco,CA,"Tel. 386-GAYS. Survival information, community resources, peer counseling, activities and events for lesbian and gay youth, 13-25 years. The only switchboard of its kind in the country. Very dedicated and involved in youth issues.",,,,,,1989
