title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Patricia Bell,Lesbian/Gay Counseling & Therapy Center,,,checked,Kansas City,MO,"Tel. (816) 361-4517-Speciality: Survivors of sexual abuse, dysfunctional families, ACA. ",,,,,,1991
Our World Too,Information Services,,,checked,St Louis,MO,"drop into this great Gay/Lesbian Bookstore when visiting St. Louis. Very helpful people with a lot of local info on hand, say 'hi' from GAIA. ",,,,,,1991
Gay Pride Line,Information Services,,,checked,St Louis,MO,Tel. 367-7433. ,,,,,,1991
Women's Resource Center,Women's Center,,,checked,Bozeman,MT,"room 15 Hamilton Hall, Montana State University, 59717; Tel. 994-3836/switchboard service. Lesbian Support Group/they are the contact for Lambda Alliance of Gay Men and Lesbians (student organization), they have their own newsletter/radio program, Say 'hi' from GAIA. ",****(*),Centers,,,,1991
Gay/Lesbian Support Line,Information Services,,,checked,Lincoln,NE,Tel. 475-4697. ,,,,,,1991
University of Nebraska Gay/Lesbian Association (UNLGLSA),Information Services,,,checked,Lincoln,NE,"Room 222, Nebraska union, 86588-0455. No phone. ",,,,,,1991
Women's Resource Center,Centers,,,checked,Lincoln,NE,"117 Nebraska Union, University of Nebraska Union, Lincoln 68588-0446; Tel. 472-2597. Information/referrals/newsletters and pamphlets/work-study/women's week and much more. VERY helpful women, say 'hi' from GAIA. ",****(*),Centers,,,,1991
Gay Switchboard,Information Services,,,checked,Las Vegas,NV,Tel. 733-9990. Excellent taped message with full events calendar and local bar info. ,,,,,,1991
Women's Herstorical Society,Lesbian Groups,,,checked,Las Vegas,NV,Tel. 796-9546. ,,,,,,1991
The Women's Social Group,Groups,,,checked,Reno,NV,Tel. 356-2025. Or see: Reno Bugle for latest info.,,,,,,1991
Our Place ,Women's Guest House,,,checked,Barrington,NH,03825. Tel. 664-5313. ,,,,,,1991
Outlooks,Radio Program,,,checked,,NJ,"99.5 FM, Sundays 7:30-8:30pm. ""Lesbian & Gays in the arts.' ",,,,,,1991
Lesbian Hotline,No Site Type,,,checked,Atlantic City,NJ,(215) 222-5510/Monday-Thursday. ,,,,,,1991
Gay Activists Alliance/Morris County (GAAMC),Group,,,checked,Morristown,NJ,"Tel. 285-1595. Operates 7pm-10pm otherwise, answerphone. Meetings are on Mondays at 8:30pm. ",,,,,,1991
Princeton Lesbian Mothers & Partners,Groups & Organizations,,,checked,Princeton,NJ,Group- Tel. (609) 921-2756. Group for lesbians who feel that parenting is an important part of their lives. ,,,,,,1991
Sistersource,Switchboards,,,checked,Albuquerque,NM,"Tel. 268-2116. Support groups/queer events for queer-wymin/lawyers/plumbers/doctors/counselors/financial planners, etc. + Confidential conversation + where to dine, dance, buy and borrow feminist books and other accessories. Dyke talk and peer support, seven nights a week. ",,,,,,1991
Gay Games IV,Events,,checked,checked,,NY,"Scheduled to be held in New York: June 25-July 4, 1992. ",,,,,,1991
Parlee,Publications,,checked,checked,New York City,NY,reviewed in the section on Long Island- includes a statewide directory of resources. ,,,,,,1991
Anti-Gay Violence Hotline,Services,,checked,checked,New York City,NY,Tel. (212) 772-0404/24 hours. ,,,,,,1991
National Gay Task Force Crisis Line,Services,,checked,checked,New York City,NY,Tel. [New York State] (212) 807-6016 & [National] (800) 221-7044. ,,,,,,1991
Lesbian Switchboard,Services,,,checked,Binghamton,NY,Tel. 724-3462. Monday evenings only. ,,,,,,1991
Carol,Bed and Breakfast,,,checked,New Paltz,NY,Tel. 687-7774. ,,,,,,1991
Lesbian Switchboard,Information Services,,,checked,New York City,NY,Tel. (212) 741-2610. Operates 6pm-10pm. ,,,,,,1991
Gay Switchboard,Information Services,,,checked,New York City,NY,"Tel. 777-1800/noon-midnight, 7 days a week. ",,,,,,1991
New York City Gay and Lesbian Anti-Violence Project,Victim / Emergency Services,,,checked,New York City,NY,"Tel. (212) 807-0197. Free counseling and advocacy for Lesbian and gay victims of assault, rape, battering, harassment and other crimes: 24 hour phone service. ",,,,,,1991
WBAI Radio ,Radio/Television/Video,,,checked,New York City,NY,"EVERYWOMANSPACE, watch WOMANEWS for current schedules of feminist and gay/lesbian programs, OUT IN THE 90S- The only Lesbian & gay TV serving all of Manhattan... and Queens. Manhattan: Tuesdays, 11pm-12midnight/Live+ WAY OUT!- Sundays, 11pm. Manhattan & Paragon Cable Channel C/16. Queens: Mondays, 9-10pm/BQ Cable Channel 56. NEWS/INTERVIEWS/VIDEO COVERAGE/AIDS UPDATES + ATKOL'S GAY TV, Manhatten Cable 35, Saturdays at 11pm. ",,,,,,1991
N.Y. Femmes,Counseling Centers & Alternatives,,,checked,New York City,NY,Support & discussion group for lesbians who self identify as femme and are primarily attracted to butch women. For information: Tel. (212) 829-9817 (Lisa). ,,,,,,1991
Community Health Projects Health Information Line For Teens,Health Care,,,checked,New York City,NY,Tel. (212) 255-1517,,,,,,1991
Lesbians In Health Care,Health Care,,,checked,New York City,NY,Tel. (718) 788-1145. ,,,,,,1991
Bar Association For Human Rights,Legal Aid,,,checked,New York City,NY,of Greater New York- Tel. (212) 459-4873. 'A professional association of the Lesbian & gay legal community. Referral Service/Full range of legal services.',,,,,,1991
Lesbian & Gay Rights Project,Legal Aid,,,checked,New York City,NY,"of the American Civil Liberties Union- Tel. (212) 944-9800/ext. 545. ""Know your Rights/We're expanding them"". ",,,,,,1991
Lesbian & Gay Labor Network,Action Group,,,checked,New York City,NY,An organization of Lesbians & Gay men who are active in their labor unions working on domestic partnership benefits & AIDS issues. For more info call: (212) 923-8690. ,,,,,,1991
LAMBDA Legal Defense And Education Fund,Legal Aid,,,checked,New York City,NY,Tel. (212) 996-8585. ,,,,,,1991
Metropolitan Community Church Of New York,Religious Groups,,,checked,New York City,NY,Tel. (212) 242-1212. ,,,,,,1991
Congregation Beth Simchat Torah,Religious Groups,,,checked,New York City,NY,Tel. (212) 929-9298,,,,,,1991
Axio- East Orthodox Christians,Religious Groups,,,checked,New York City,NY,Tel. (212) 898-6211. ,,,,,,1991
Gay Women's Alternative ,Special Interest Groups,,,checked,New York City,NY,"Tel. 595-8410- Lesbian discussion group-like no other. They also sponsor special nights with speakers (authors, etc.)- Ring them for more info. A brilliant, stimulating alternative... Very highly recommended by GAIA (who still misses IKE, terribly). ",,,,,,1991
Asian Lesbians Of The East Coast,Special Interest Groups,,,checked,New York City,NY,"Tel. (212) 517-5598. 'We are a political, social & supportive network of Asian Pacific lesbians. Planning meetings on the 1st Sunday & social events on the last Friday of each month. Call for more information'. ",,,checked,,,1991
We Wah & Bar-Chee-Ampee/The New York Lesbian & Gay NATIVE AMERICAN GROUP,Special Interest Groups,,,checked,New York City,NY,'All Gay/Lesbian Indigenous Americans are Invited to call for information about future gatherings.' Tel. (212) 260-5617 & 675-2848. ,,,checked,,,1991
Sundance Outdoor Adventure Society,Sport,,,checked,New York City,NY,"A non-profit club offering out-door activities for every season including hiking, biking, skiing, water activities, etc. For information and/or complimentary Newsletter call (212) 598-4726. ",,,,,,1991
New York Women's Softball Guild,Sport,,,checked,New York City,NY,"'For experienced, serious Softball Players, Coaches & Managers. We play mod/fast pitch weekends in Manhattan & Queens. Try-outs begin Feb. 11 thru April or until filled.' Tel. (212) 255-1379 (Janet). ",,,,,,1991
Sisters Of The Bronx,Lesbian Social Group- Meet Lesbians In Your Borough!,,,checked,New York City,NY,Tel. (212) 829-9817 and asl for Lisa or: (212) 829-9817 ask for Brandie. Dances and parties at the Gay Center (208 West 13th St) -first and third Fridays of each month. MEET LESBIANS IN YOUR OWN BOROUGH. ,**,Group,,,,1991
Wrestling For Gays & Lesbians,Sport,,,checked,New York City,NY,'-at the Gay Center- Tel. (718) 639-5141. The club also conducts classes for women & men. ,,,,,,1991
Meet Your Neighbors,Groups,,,checked,New York City,NY,'We are a local Brooklyn lesbian & bi-sexual women's group meeting for the purpose of building friendships in our own neighborhood. If you live in the IMMEDIATE vicinity of Brighton Beach & Sheepshead Bay call: (718) 646-1031. ,,,,,,1991
Brooklyn Women's Anti-Rape Exchange (BWARE),Victim Emergency Service,,,checked,New York City,NY,Tel. (718) 330-0310/6pm. Telephone counseling/Advocacy/Referrals to Counselors. ,,,,,,1991
Radclyffe Hall,Women's Guest House,,,checked,New York City,NY,Tel. (718) 625-2653/Answering machine. ,,,,,,1991
Long Island Women's Coalition ,Information Services,,,checked,New York City,NY,Tel. (516) 666-8833/24 hours. ,,,,,,1991
Hotline,Information Services,,,checked,New York City,NY,Tel. (516) 666-0698/6pm-9pm. ,,,,,,1991
Top of the Bay ,Bars & Bar/Restaurants,,,checked,Fire Island,NY,"Cherry Grove, Fire Island; Tel. (516) 597-6699. Seasonal: April-Sept. ",*,"Bars, Clubs, Coffeehouses",,,,1991
Ice Palace,Bars & Bar/Restaurants,,,checked,Fire Island,NY,"Cherry Grove Beach Club, Fire Island; Tel. 597-6600. ",,,,,,1991
The Monster,Bars & Bar/Restaurants,,,checked,Fire Island,NY,"Cherry Grove, Fire Island.",**,"Bars, Clubs, Coffeehouses",,,,1991
Blue Whale,Bars & Bar/Restaurants,,,checked,Fire Island,NY,"Picketty Ruff, Fire Island",**,"Bars, Clubs, Coffeehouses",,,,1991
Southampton Bed & Breakfast,Guest Houses,,,checked,New York City,NY,"Tel. (212) 777-755533 (Judith). Winter/Spring/Weekend Get-a-way. Enjoy cycling, wineries, antique shops, beaches... in a non-smoking drug-free space. Reasonable rates. ",,,,,,1991
Lesbian Switchboard,Information Services,,,checked,New York City,NY,"Tel. (212) 77-1800/noon-midnight, 7 days a week. ",,,,,,1991
Women Only Bed & Breakfast,Guest Houses,,,checked,New York City,NY,Tel. (212) 505-7869/Weekdays & (516 724-5945/Weekends. ,,,,,,1991
Radclyffee Hall,Hotels/Motels/Guest Houses,,,checked,New York City,NY,Tel. 625-2653. Located in Brooklyn. ,,,,,,1991
Slanders Club,Travel Agents,,,checked,New York City,NY,Tel. (212) 633-8898 of 800-TIC-CLUB. THE travel agency for Gay Women and Men. ,,,,,,1991
Lesbian Lines,No Site Type,,,checked,Poughkeepsie,NY,Tel. (914) 626-3203/Taped recording of all local lesbian activities. Tel. 473-1500 & ask about Poughkeepsie & Ulster GALA or Tel. (914) 692-2220 for Orange & Sullivan County GALA. ,,,,,,1991
Women Only Guest House,Bed and Breakfast,,,checked,Woodstock,NY,"'In the heart of Woodstock, at the foothills of the Catskills Mountains. Perfect accommodations for any season. Skiing & hiking trails nearby.' Tel. (914) 679-7862/Info &n reservations. ",,,,,,1991
Lesbian-Gay Information Line,No Site Type,,,checked,Asheville,NC,"The lesbian & gay community is really growing here, we now have our own monthly paper-Community Connections- & Information line- Tel. (704) 253-2971.' ",,,,,,1991
Salga,Gay Rights Group,,,checked,Asheville,NC,Tel. 658-0362. ,,,,,,1991
Asheville Bed and Breakfast,Cabin/Guest Houses/Bed and Breakfast,,,checked,Asheville,NC,Tel. 298-1896. Owned and operated by two gay men- Lesbians welcome! &40.00-$45.00 per night double occupancy. ,,,,,,1991
Ellen Hines,Acupuncture & Herbology,,,checked,Asheville,NC,"M.Ac., Dipl.Ac. (NCCA)- California & Hawaii State & National Board Certified. Tel. (704) 628-3772. Traditional Chinese Acupuncture & Herbology. ",,,,,Also listed in Johnson City,1991
Gay/Lesbian Switchboard of Charlotte,Services,,,checked,Chapel Hill,NC,Tel. 525-6128. Answerphone. ,,,,,,1991
Woman-Owned,Guest Houses,,,checked,Holden,NC,rates by the week or night- 2 nights minimum. ,,,,,,1991
Gay Community Switchboard,Switchboards,,,checked,Cincinnati,OH,"Tel. 221-7800. Monday-Saturday, 7pm-11pm. ",,,,,,1991
Women Helping Women,Groups/Organizations and Services,,,checked,Cincinnati,OH,"9th & Walnut Streets; tel. 381-5610 (lesbian line) or 381-6003. Home of these and more groups: Slightly Older Lesbians, peer counseling, lesbian resource library. ",****(*),Group,,,,1991
The Lesbian Support for Singles Group,Groups/Organizations and Services,,,checked,Cincinnati,OH,"Tel. 231-9203 (Simone). 'We discuss various topics/and have a weekly sharing experience, + occasional speakers and lots of social events. not a therapy group. they meet on alternative Fridays of each month and are now over 100 members. Say 'hi' to Simone for GAIA. ",**,Group,,,,1991
The Womyn's Spirituality Network,Religious Groups,,,checked,Cincinnati,OH,"Tel. 231-9203 (Simone). 'We do Wiccan/goddess studies and rituals, we meet once a month + have smaller closed circles(!)- say 'hi' from GAIA who has the very very greatest respect for this particular group...",,,,,,1991
Copa,Bars,,,checked,Cincinnati,OH,"Glendora and West Charlton; Tel. 861-3966. Show-bar with lots of women entertainments. Disco, too. Looks good. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Gay Hotline and Switchboard,Information Services,,,checked,Cleveland,OH,Tel. 781-6736. ,,,,,,1991
Gay Hotline And Switchboard,Information Services,,,checked,Cleveland,OH,Tel. 651-7111. ,,,,,,1991
What She Wants,Publications,,,checked,Cleveland,OH,Tel. 321-3054. ,,,,,,1991
Lesbian/Gay Info Center,Information Services,,,checked,Cleveland,OH,"Tel. 988-9377/Friday & Saturday, 6pm-11pm or leave message. ",,,,,,1991
Women Together Hotline,Information Services,,,checked,Cleveland,OH,Tel. 961-4422. ,,,,,,1991
GLOWS- Gay/Lesbian Older Wiser Seniors,Special Interest Groups,,,checked,Cleveland,OH,Gay Hot Line- Tel. 781-6736. Fro 55+...,*,Group,,,,1991
Gay helpline,Services,,,checked,Oklahoma City,OK,Tel. 842-4297/(GAYS). ,,,,,,1991
Eugene Rape Crisis Network,Hotlines/Emergency Services For Women,,,checked,Eugene,OR,Tel. 485-6700. ,,,,,,1991
Womanspace,Hotlines/Emergency Services For Women,,,checked,Eugene,OR,Tel. 485-8232. Lesbian survivors of abusive relationships. ,,,,,,1991
Lavender Network Gay & Lesbian Hotline,Hotlines/Emergency Services For Women,,,checked,Eugene,OR,Tel. 683-CHAT or (800) 333-CHAT. ,,,,,,1991
Womyn's Eugene Hotline,Hotlines/Emergency Services For Women,,,checked,Eugene,OR,Tel. 344-1227; (emergency information and referrals). ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Eugene,OR,Tel. 345-5963. ,,,,,,1991
Lesbian and Gay Hotline,Information Services,,,checked,Klamath Falls,OR,Tel. 773-8146 (7pm-11pm every night)- serving all southern Oregon. ,,,,,,1991
Gay Events Tape,Information and Emergency Services,,,checked,Portland,OR,Tel. 248-6969. ,,,,,,1991
Lesbian Abuse Task Force of Portland,Information and Emergency Services,,,checked,Portland,OR,Tel. 232-7805. Crisis contacts; shelter services; support groups; counseling and information for lesbians who are being battered and/or abused by their partners. ,,,,,,1991
Windfire,Organizations and Groups - Including Special Interests,,,checked,Portland,OR,"Tel. 223-8299, for lesbians &/or bi-sexual women under 21... they meet at OLD WIVES TALES, & see 'Just Out' &/or 'Lavender Network' for current details. ",,,,,,1991
Nightscene,"Television/Radio/Cable, etc",,,checked,Portland,OR,"Tuesdays 11:30pm, channel 11. ",,,,,,1991
Radio Cab,Taxi Cabs,,,checked,Portland,OR,Tel. 227-1212. ,,,,,,1991
Gay & Lesbian Switchboard,Information Services,,,checked,Roseburg,OR,Tel. 672-4126/24 hour service. ,,,,,,1991
Metropolitan Community Church of Roseburg,Religious Groups,,,checked,Roseburg,OR,Tel. 679-9144; Messages. ,,,,,,1991
The Gay Beach,Gay Beach,,,checked,Erie,PA,"On Presquille Isle, Beach three & a half. Weekends are best. O.k. for gat women. ",,,,,,1991
Gay Switchboard,No Site Type,,,checked,Harrisburg,PA,"Tel. 234-0328; (Monday-Friday, 6pm-10pm). Extremely helpful people. ",,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Harrisburg,PA,Tel. 238-3746. ,,,,,,1991
The Railroad House,Bar/Restaurant,,,checked,Marietta,PA,Front & Perry Streets; Tel. 426-4141. ,*,Bar / Restaurants,,,,1991
Lesbian Hotline,Services,,,checked,Philadelphia,PA,"Tel. (215) 222-5110. Operates from 6pm-9pm/Monday, Tuesday, Thursday. Their tape is fabulous; everything you need to know about the current lesbian scene in Philadelphia- including SISTERSPACE happenings, local group info & info about new and projected lesbian groups. (Nice voce, too). ",,,,,,1991
Tel-A-Woman,Services,,,checked,Philadelphia,PA,Tel. 563-8599. Women's info. exchange. ,,,,,,1991
Gay Switchboard,Services,,,checked,,,,,,,,,1991
Gay Switchboard,Services,,,checked,Philadelphia,PA,Tel. 546-7100. 6pm-11pm/7 nights a week. ,,,,,,1991
Discrimination and Violence Information and Referral Service,Services,,,checked,Philadelphia,PA,"of the Philadelphia Lesbian and & Gay Task Force, Tel. (215) 563-4581/Tuesday, Thursday, Friday, 5pm-9pm. If you have been the victim of, or witnessed: physical assault/sexual abuse/verbal abuse/vandalism/robbery or arson/police harassment or brutality/or been fired or evicted/denied health care or admittance to bars, etc. ",,,,,,1991
Lavender Archives,"Archives/Libraries, Etc. ",,,checked,Philadelphia,PA,Tel. 849-4612: (Also see: AU COURANT). ,,,,,,1991
Amazon Country,Radio Program,,,checked,Philadelphia,PA,"WXPN-FM, 88.9FM. Sundays at 1-2pm. See: AU COURANT for other related programs including AMAZON GAYDREAMS. ",,,,,,1991
Ladies For The 80's Hotline,No Site Type,,,checked,Philadelphia,PA,Tel. (609) 784-8241. Special women-only events that are attended by lesbians from PA & NJ & NY... great parties and highly recommended. ,,,,,,1991
Judy's,Restaurants,,,checked,Philadelphia,PA,"3rd & Bainbridge; Tel. 928-1968. Recommended by GIOVANNI'S ROOM. 'Elegant food', apparently a bit on the expensive side, but worth it for a really special eating night out. Owned by 2 very nice women. ",*,Restaurants,,,,1991
The Westbury,Restaurants,,,checked,Philadelphia,PA,"13th Street at Spruce; Tel. 546-5170. bar and restaurant, for lunch, dinner and Sunday brunch. ",*,Restaurants,,,,1991
