"title","description","type","city","state","country","publication","year","notes"
"Fools Rush Inn","P.O.Box 387, 95456. Tel.(707)9 37- 5339-Location: Hiway 1 at Dimport Road. Recommended.","Resorts","Mendocino","CA","United States","Gaia's Guide",1981,""
"Fife's Resort","""A resort for gay people here on the Russian River. Pool, hot tubs, restaurant, cabins, shops an dmuch, much more."" Write to them for further details.","Resorts","Guerneville","CA","United States","Gaia's Guide",1981,""
"Roman IV Restaurant","Tel. (213)437-3771.Cocktails, dinners, Sunday brunch. Organ & piano bar. Very popular with gay women and very highly recommended for excellent food. Open 10am-2am seven days a week.","Restaurants","Long Beach","CA","United States","Gaia's Guide",1981,""
"Val's Restaurant (at the Women's Building)","Very Highly Recommended","Restaurants","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Peanuts Disco","Tel.654-0280.A11 all times—Wednesdays: 'Ladles' Night'. A hot that’s very highly recommended by Jamie. Open 7 days a week: 9pn- 2am. $2.00 cover charge on weekends.","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"N.O.W./Lesbian Task Force","","Groups","Los Angeles","CA","United States","Gaia's Guide",1981,""
"South County Women's Center","","Women's Centers","Hayward","CA","United States","Gaia's Guide",1981,""
"Metropolitan Community Church","Pel.
(213)762-1133.M.C.C./In the Valley--the Christian Church with an outreach to the gay community. Their publication: THE PARACLETE-bi-monthly. Social as well as religious activites—3 church services on Sundays.","Religious Groups","Hollywood","CA","United States","Gaia's Guide",1981,""
"Womanspace","Tel.(2133396-0054.""Straight/bi/gaywomn CAN work together"". Older lesbian group. Alternativephonenumber:399-9?’3","Women's Centers","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Fogg's","","Bars","Eureka","CA","United States","Gaia's Guide",1981,""
"The Mug","Tel.(714)534-9943. Enter tainment center. Women’spool tournaments.","Bars","Garden Grove","CA","United States","Gaia's Guide",1981,""
"Feminist Forge","Tel.(714)494- ‘ ""feminist Jewelry plus things like belts and buckles.","Jewelry/Crafts","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"Whitehorse","Tel.652-3820.","Bars","Oakland","CA","United States","Gaia's Guide",1981,""
"The Feminist Shop (WICCA)","Tel.(213)399-3919. Herbs, books, tarot reading, occult supplies. Mail order catalogue:$35. Open Mon-Thurs., Sat:Noon-6:30pm.","Occult Shop","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Artist's Proof","Tel.924-3801.Women's books, hcildren's books.","Bookstore","Larkspur","CA","United States","Gaia's Guide",1981,""
"Metropolitan Community Church","Tel.(714)632-9958. Rap groups, counseling and social activities.","Religious Groups","Riverside","CA","United States","Gaia's Guide",1981,""
"Gateway Bar","Tel.479-9400.","Bars","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Wildwood Ranch","Tel.(707)632-5321. Additional phone number: 869-9992.","Lodge","Guerneville","CA","United States","Gaia's Guide",1981,""
"Willow","Tel. (707)94 4-8173.""Secluded retreat on 40 acres, 70 miles north of S.F. in the mountains. Hot tubs, sauna, swimming pool, tennis court. Available to groups and individuals. Various workshops offered.''","Retreat","Napa","CA","United States","Gaia's Guide",1981,""
"Gay Service League/Long Beach","Tel.(213)437-0727.Referral and counselling service","Services","Long Beach","CA","United States","Gaia's Guide",1981,""
"Blue Parrot","Tel.(213)657-5583.""Very friendly to outsiders"". Recommended","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"The Answer","","Bars","Redwood City","CA","United States","Gaia's Guide",1981,""
"Rusty Nail","Gay People's bar. Restaurant, dancing, pool table. Highly recommended.","Bars","Forestville","CA","United States","Gaia's Guide",1981,""
"Hideaway","Tel.(714)346-4720.Friendly people, lots of privacy, large swimming pool, volleyball court, color t.v., shuffleboard. 50% gay women and very, very highly recommended.","Hotel","Palm Springs","CA","United States","Gaia's Guide",1981,""
"Pit Stop","","Bars","Gardena","CA","United States","Gaia's Guide",1981,""
"Women's Information Skills Project","Tel.(213)969-7900. A complete range of services for lesbians— counseling, referrals, housing, employment, disabledlesbians program, switchboard/hotline. Open rap group for women every Tuesday & Thurs.8pm-10pm. Contact them when you first come to the Los Angeles area. Tel.(213)969-7900-ext. 231","Women's Centers","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Affirmation","Tel.(213)8 51-1895.Gay mormons, large lesbian participation. Dances, regular meetings, counseling, referrals, newsletter.","Religious Groups","Los Angeles","CA","United States","Gaia's Guide",1981,""
"S.G.V.C.H.R.","Gay women and men. Newsletter.","Groups","Pasadena","CA","United States","Gaia's Guide",1981,""
"Fahrenheit 451","-el. 494-5151.Gay literature and periodicals.","Bookstore","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"The Women's Garage","rel. (213)884-5983. Owned and operated by two women and staffed by 5 full-time female mechanics. O11 changes to engine rebuilds.— ""e take the time to explain things to customers.""","Women's Garage","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Cottage Restaurant","Tel.(714)494-3023-Good home cooking. A landmark that has watched over the Laguna surf for more than half a century. Set in an old fashioned garden. Open 8am-3pm,breakfastand lunch;5pm-10pm dinner. Gay and recommended","Restaurants","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"The Gay & Lesbian Events Phone Line","Tel.650-6071.24 hour, 7 days a week taped message of all the weekly events sponsored by the lesbian and gay organizations of Los Angeles County.","Services","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Puka's","Tel.378-6500.","Bars","Redondo Beach","CA","United States","Gaia's Guide",1981,""
"Golden Bull","Tel.454-2078.""Excellent food."" Now it's more men than women but highly recommended anyway","Restaurants","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Small World","Tel.(415)494-1556.""Oay owned and operated, we specialize in gay resorts, tours, etc. We maintain a network for exchanging information with other gay travel agencies throughout the world."" Very highly recommended for gay women. Open 9am-5pm-Mon.-Fri.lOam-noon Sat.","Travel Agencies","Palo Alto","CA","United States","Gaia's Guide",1981,""
"Sleepy Hollow","Tel.(707)860-0888. A friendly, helpful, nice place to stay","Resorts","Guerneville","CA","United States","Gaia's Guide",1981,""
"ONE Center","Tel.(213)735-5252.","Centers","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Gipsy","Tel.(213)652-1611. Entertainment nightly. Restaurant and piano bar. Lunch 11am-4pm% dinner: 6pm-llpm.","Bar/Restaurant","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Central Realty Service","Very reliable, helpful people.","Real Estate Agent","Oakland","CA","United States","Gaia's Guide",1981,""
"Andree's","Tel.494-2528.Restaurant/pianobar—elegant.","Restaurants","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"The Garden","Disco.","Bars","Palo Alto","CA","United States","Gaia's Guide",1981,""
"Continental","Tel.(209)486-9841.Disco. 50% gay women.","Bars","Fresno","CA","United States","Gaia's Guide",1981,""
"Califia, Inc.","Tel.545.8717.Books, periodicals, arts and crafts by women for women. Open:Tues-Sat: llan-6pn.Sunday: llam-4pin. Closed Mondays.","Feminist Store","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Brooke Bassett","Tel.(415)-655-0744. Lesbian/feminist lawyer--(and a very, very good one).","Attorneys","Oakland","CA","United States","Gaia's Guide",1981,""
"D.O.K. West","TEl.534-9712","Bars","Garden Grove","CA","United States","Gaia's Guide",1981,""
"Knotty Keg","Tel.(714)537-9013.""Good &Gay""","Bars","Garden Grove","CA","United States","Gaia's Guide",1981,""
"Savoy","Tel.255-0195","Bars","Cupertino","CA","United States","Gaia's Guide",1981,""
"Sisterhood Bookstore","Tel:(213)177-909 0.Complete selection of lesbian and feminist books. Also pamphlets, journals, record albums,  non-sexist children's books and sell GAIA'S GUIDE.","Feminist Bookstore","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Desert Paradise Hotel","Tel.352-0229.","Hotel","Palm Springs","CA","United States","Gaia's Guide",1981,""
"Womanbooks, Etc.","el.(213)785-4276. Reading lounge/cof fee/tea and sodas served. Also bulletin board and informal referral service. Mailing list for events, changesnew titles, etc.Records /buttons ./posters/magazines/T-shirts. Books! Gifts: women's symbols, astrological plaques, wood carvings and original art-work. They opened in Oct. 1979 and will be selling GAIA'S GUIDE.","Feminist Bookstore","Sherman Oaks","CA","United States","Gaia's Guide",1981,""
"Book Boutique","","Feminist Bookstore","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"Garbo's","Tel.869-0403. New gay show bar. Women entertainers.","Bars","Guerneville","CA","United States","Gaia's Guide",1981,""
"We're Inn!-Tahoe","Tel.(916)546-2444.A gay resort with frontage and a beach on the lake and lake-front rooms. Some kitchens, moderate rates. Gay- owned and operatedand very highly recommended.","Resorts","Lake Tahoe","CA","United States","Gaia's Guide",1981,""
"Que Sera Sera","Tel.599-6170. Dancing, pool table, regular entertainment. Couches and fireplace for comfortable, casual, friendly atmosphere. Open Mon- Fr1:6pm-2am & Sat-Sun: 2pm-2am.","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"Dolly Dolphin's Grill","Tel.77-2277.""Seafood without pier"". Green plants, casual atmosphere and women’s art","Restaurants","Los Angeles","CA","United States","Gaia's Guide",1981,""
"The Plowshare","Tel.(415)321-4748.","Bookstore","Palo Alto","CA","United States","Gaia's Guide",1981,""
"Alcoholism Center for Women","Tel.(213)381-7805.Support for lesbians with a drinking problem. Counseling, 13 bed recovery  home,social activities, lesbian rap groups, coffeehouse nights. All-women A.A. groups.","Women's Centers","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Humour Hazzit","","Bars","Garden Grove","CA","United States","Gaia's Guide",1981,""
"M.C.C. in the Valley","Tel.(213)762-1133.","Religious Groups","North Hollywood","CA","United States","Gaia's Guide",1981,""
"Tender Trap","Tel.622-9307. Open:noon-2am. But is it just gay men?","Bars","Pomona","CA","United States","Gaia's Guide",1981,""
"Whoop's Coop","Tel.434-1449.","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"Mustang Club","Tel.524-9303.","Bars","Modesto","CA","United States","Gaia's Guide",1981,""
"Gay People's Union","Social and educational functions for campus-based gay women and men at California State  University at Fresno","Groups","Fresno","CA","United States","Gaia's Guide",1981,""
"Li'l Lucy's","Tel.432-2019.","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"French Market","","Restaurants","Hollywood","CA","United States","Gaia's Guide",1981,""
"Daybreak","Tel. (415)961.9953.Disco-lighted built up dance floor/2 pool tables/backgammon and chess. They feature Olivia recording artists and have womyn's concerts. After hours its coffee. Juices rap sessions and femintst meetings. They sell GAIA'S GUIDE and are very highly  recommended.","Bars","Mountain View","CA","United States","Gaia's Guide",1981,""
"Gay Little Hut","(get address locally)","Bars","Los Angeles","CA","United States","Gaia's Guide",1981,""
"The Magic Speller","Tel.673-8400.Lesbian owned and staffed bookstore selling GAIA'S GUIDE.","Feminist Bookstore","Newport Beach","CA","United States","Gaia's Guide",1981,""
"Eating High","Tel.660-9877","Restaurants","Hollywood","CA","United States","Gaia's Guide",1981,""
"The Roommate Connection","Tel.656-5901. A recommended service for gay women and men.","Roommate Service","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Temple Beth Chayim Chdashim","Tel.(213)931-5308.""Serving the lesbian/gay and Jewish communities."" They have their own temple building and their publication is G'vanim (The Temple Newsletter). Social activities and counselling services.","Religious Groups","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Eric's","Tel.(714)499-3939.","Restaurants","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"Boom Boom Room","Tel(714)494-7588.","Bars","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"Crescent Moon","Tel. 442-9 375.A |
Woman-only club—low-key and friendly. Great sound system,
dancing, pool table, pin-ball and other games. There's also a
beer garden. Very, very highly recommended. Open: 4pm-2am:","Bars","Sacramento","CA","United States","Gaia's Guide",1981,""
"Purple Tortois","","Bars","Sacramento","CA","United States","Gaia's Guide",1981,""
"Parking Lot","This is the largest gay
complex in the world. Disco dancing, bars, two swimming pools and
saunas, volly-ball, barbecue pits and pool table plus, plus, |
plus. The clientel is mostly gay women but strictly private club.
Very, very highly recommended by Sacramento women.","Bars","Sacramento","CA","United States","Gaia's Guide",1981,""
"Upstairs-Downstairs","Tel.448- 1 2866.lunches, brunches, tea-dances","Bars","Sacramento","CA","United States","Gaia's Guide",1981,""
"Bojangles","Tel.383-9882.","Bars","Sacramento","CA","United States","Gaia's Guide",1981,""
"Underpass","Tel.457-5867.Open daily 2pm-2am","Bars","Sacramento","CA","United States","Gaia's Guide",1981,""
"Joseph's","Tel.481-2050.","Bar/Restaurant","Sacramento","CA","United States","Gaia's Guide",1981,""
"Nicole's Omelettes","Tel 441-7815","Bar/Restaurant","Sacramento","CA","United States","Gaia's Guide",1981,""
"Earhart's Cafe","Tel.442-2481. Ahighly re commended woman-owned restaurant. They feature local women’s art and are open for lunch llam-3pm M-F;dinner:6pm-11pm Weds. W—S at i . s","Restaurants","Sacramento","CA","United States","Gaia's Guide",1981,""
"Whistle Stop No. 1","coffeehouse — we attempt an a iternatlve to the bar type
atmosphere."" Feminist entertainment. Open Su n.-Th u rs . 11 am -
7pm;Pri.-Sat.Ham-Midnight. Sat/Sun brunch:from 9am. Highly
r
1
ecommend
J
e
o
","Restaurants","Sacramento","CA","United States","Gaia's Guide",1981,""
"Joseph's","Tel.48]-2050.Burgers and big meals.","Restaurants","Sacramento","CA","United States","Gaia's Guide",1981,""
"Cafe de New Orelans","","Restaurants","Sacramento","CA","United States","Gaia's Guide",1981,""
"Juliana's Kitchen","Tel.444-0187.","Restaurants","Sacramento","CA","United States","Gaia's Guide",1981,""
"Sacramento Women's Store","Tel.442-4657","Feminist Bookstore","Sacramento","CA","United States","Gaia's Guide",1981,""
"Northern Lights","Te l. (9 16 )4 4 3-
9292.Records, tapes, T-shirts, Jewelry, cards and more. Woman-owned.","Feminist Store","Sacramento","CA","United States","Gaia's Guide",1981,""
